Date of Cartoon,Title,Major Subject
"Friday, March 12, 1976","""We turned it down by mistake -- We thought it contained classified information""",Congress
"Sunday, March 14, 1976","""Just a temporary problem, folks -- After we sink to the bottom, we expect to be on an even keel""",United States Postal Service
"Tuesday, March 16, 1976","""He was taken from us before we really knew him""",Ford Administration
"Wednesday, March 17, 1976","""... Our splendid President, who is already beginning to bring us out of the Ford recession ...""","Presidential Election, 1976"
"Thursday, March 18, 1976","""Y'see, Florida is not really a Southern States, and Illinois isn't really a big Midwestern State, and Massachusetts isn't an Eastern ...""","Presidential Election, 1976"
"Friday, March 19, 1976","""Ron, friend, the Chief wants you to fee free to drop in any time""","Presidential Election, 1976"
"Sunday, March 21, 1976",Sitting Duck,Ford Administration
"Tuesday, March 23, 1976","""I said, sir, you DO have your hearing aid turned on, don't you?""","Presidential Election, 1976"
"Wednesday, March 24, 1976","""Oh, stop thinking about it -- As long as we're never kidnaped, we can assume we'd behave better than she did""","Hearst, Patricia"
"Thursday, March 25, 1976",[Untitled],"Presidential Election, 1976"
"Friday, March 26, 1976","""We realize you're a holdover from the old Post Office Department, but that's no excuse for actually trying to DELIVER mail""",United States Postal Service
"Sunday, March 28, 1976","""This is fun -- I haven't been included in one of these since 1960""","Presidential Election, 1976"
"Tuesday, March 30, 1976","""For outstanding non-performance ...""",Corruption
"Wednesday, March 31, 1976","""You haven't been shoveling enough into it""",United States Postal Service
"Thursday, April 1, 1976","""Hello -- I'd like to phone in a question to the candidates, please""",Gun Controls
"Friday, April 2, 1976","""Tsk tsk -- Accidents will happen""",Automotive Industry
"Sunday, April 4, 1976","""We don't mind your getting a new watchdog. As long as he's just like this one""",Domestic Spying
"Tuesday, April 6, 1976","""Carry on""",Great Britain
"Wednesday, April 7, 1976","""We were told they were 'Strict Constructionists'""",Supreme Court
"Thursday, April 8, 1976","""Let's start with the simple things -- Hua Kuo-Fen seems to be in, Teng Hsiao-Ping is out ...""","Presidential Election, 1976"
"Friday, April 9, 1976","""On to Pennsylvania!""","Presidential Election, 1976"
"Sunday, April 11, 1976","""The Bo Callaway matter was strictly routine""",Ford Administration
"Tuesday, April 13, 1976",Canceling Machine,United States Postal Service
"Wednesday, April 14, 1976","""I wouldn't want anyone to think I was lacking in respect""",Congress
"Thursday, April 15, 1976",[Untitled],"Presidential Election, 1976"
"Friday, April 16, 1976","""I've heard the food here is very good. Maybe we can take some home and taste it""",Tobacco Industry
"Sunday, April 18, 1976",Egg-Rolling Event,Ford Administration
"Tuesday, April 20, 1976","""Later""","Presidential Election, 1976"
"Wednesday, April 21, 1976","""It's my own invention ... You see I carry it upside-down, so that the rain can't get in"" -- Through the Looking-Glass",United States Postal Service
"Thursday, April 22, 1976","""What does this do to the neighborhood?""","Presidential Election, 1976"
"Friday, April 23, 1976","""You have other alternatives -- You can bury your money in a tin can, put it in a sock, hide it under the mattress ...""",Supreme Court
"Sunday, April 25, 1976","""But they're still not taking me on""",Ford Administration
"Tuesday, April 27, 1976","""Just between us true Americans --""",Ford Administration
"Wednesday, April 28, 1976","""I'm here to protect you, sweetie""",Domestic Spying
"Thursday, April 29, 1976","""Well, what do you think?""","Presidential Election, 1976"
"Friday, April 30, 1976",Bicentennial Display,Domestic Spying
"Sunday, May 2, 1976",[Untitled],"Presidential Election, 1976"
"Tuesday, May 4, 1976","""That's carrying the nostalgia craze too far""","Presidential Election, 1976"
"Wednesday, May 5, 1976",[Untitled],"Presidential Election, 1976"
"Thursday, May 6, 1976","""Well, he's stopped tailgating us""","Presidential Election, 1976"
"Friday, May 7, 1976",[Untitled],Domestic Spying
"Sunday, May 9, 1976",[Untitled],"Presidential Election, 1976"
"Tuesday, May 11, 1976","""He hasn't actually got it wrapped up yet""","Presidential Election, 1976"
"Wednesday, May 12, 1976","""How do we stamp it on a piece of beef?""",Ford Administration
"Thursday, May 13, 1976","""A lot of people still want to know what direction the driver is going""","Presidential Election, 1976"
"Friday, May 14, 1976",Black Bag,Domestic Spying
"Sunday, May 16, 1976",[Untitled],Ford Administration
"Tuesday, May 18, 1976","""You certainly don't want thing decided in that little back room, do you?""","Presidential Election, 1976"
"Wednesday, May 19, 1976","""We can't run the risk of having it leak out to the U.S. Taxpayers""",Domestic Spying
"Thursday, May 20, 1976","""That guy on roller skates somehow spoils the effect""","Presidential Election, 1976"
"Friday, May 21, 1976","""Later I can put on the brake. By the way, where IS the brake?""","Presidential Election, 1976"
"Sunday, May 23, 1976","""Not quite fast enough on the takeoff""",Ford Administration
"Tuesday, May 25, 1976","""And here comes the Emperor in his magic robes, followed by his faithful aides ...""",Congress
"Wednesday, May 26, 1976","""Exactly, If we had shared our secrets with people like that, it might have endangered National Security""",Domestic Spying
"Thursday, May 27, 1976",Oregon Trail,"Presidential Election, 1976"
"Friday, May 28, 1976",Energy Policy,Ford Administration
"Sunday, May 30, 1976","""Uh -- The investigators are only interested in payments to women, aren't they?""",Congress
"Tuesday, June 1, 1976","""Getting a little carried away, isn't he?""","Presidential Election, 1976"
"Wednesday, June 2, 1976","""Weren't any of you able to see anything?""",Ford Administration
"Thursday, June 3, 1976","""You're not exactly sitting pretty either""","Presidential Election, 1976"
"Friday, June 4, 1976","""Damn it, I told you always to knock before you come in!""","Presidential Election, 1976"
"Sunday, June 6, 1976","""I came as fast as I could""",Congress
"Tuesday, June 8, 1976","""Just a personal opinion from a little old President of the U.S.""","Presidential Election, 1976"
"Wednesday, June 9, 1976","""To get the most attention, you have to be stacked the right way""",Congress
"Thursday, June 10, 1976","""But I don't think I know him""","Presidential Election, 1976"
"Friday, June 11, 1976",Cliffhanger,"Presidential Election, 1976"
"Sunday, June 13, 1976",Off-Broadway Note,"Congressional Elections, 1976"
"Tuesday, June 15, 1976","""I guess that was about it""",United States Armed Forces
"Wednesday, June 16, 1976","""To those ... who would say that it is time to reform this organization, that it is time for the leaders to stop selling out the members ... I say to them, go to Hell!"" -- Teamster Boss Frank Fitzsimmons",Labor
"Thursday, June 17, 1976","""So much for that problem""",Ford Administration
"Friday, June 18, 1976","""Hey, hon -- I'm a long lost prince""","Presidential Election, 1976"
"Sunday, June 20, 1976",[Untitled],US Economy
"Tuesday, June 22, 1976","""Just one little old loophole""",Senate
"Wednesday, June 23, 1976","""Whew! Made it -- I hope""",Italy
"Thursday, June 24, 1976",Boys on the Bus,"Presidential Election, 1976"
"Friday, June 25, 1976","""Hey, Whoa, Silver!""",Ford Administration
"Sunday, June 27, 1976",Darkest Africa,South Africa
"Tuesday, June 29, 1976","""It's perfectly fair -- Big loopholes for big guys and little knotholes for little guys""",US Economy
"Wednesday, June 30, 1976","""There goes the last of the neighborhood""",Pollution
"Thursday, July 1, 1976",Bicentennial Event,Supreme Court
"Friday, July 2, 1976","""Gee -- A Medal from Gen. Goldwater""","Presidential Election, 1976"
"Sunday, July 4, 1976",201st Year of the Revolution,American History
"Tuesday, July 6, 1976","""Uh -- These are sort-of secret organizations that our government hires to see that we enjoy the right kind of -- uh -- liberty""",Domestic Spying
"Wednesday, July 7, 1976","""I may have been a little more enthusiastic than I should have been"" -- Secretary of Labor Usery",Labor
"Thursday, July 8, 1976","""Let me warn you again that a public jobs program would be inflationary""",Ford Administration
"Friday, July 9, 1976","""So much for the Bicentennial""",Supreme Court
"Sunday, July 11, 1976",[Untitled],Congress
"Tuesday, July 13, 1976","""We bring you, live, the action from New York City, where the Democrats ...""","Presidential Election, 1976"
"Wednesday, July 14, 1976","""They laughed when I sat down at the piano --""","Presidential Election, 1976"
"Thursday, July 15, 1976",[Untitled],"Presidential Election, 1976"
"Friday, July 16, 1976",[Untitled],"Presidential Election, 1976"
"Sunday, July 18, 1976",Unscheduled Event,Canada
"Tuesday, July 20, 1976",Johnny Mushroomed,Ford Administration
"Wednesday, July 21, 1976","""A funny thing happened -- Gribbet Gribbet -- On the way through the forest""",US Economy
"Thursday, July 22, 1976","""We don't want any funny business around here""",Domestic Spying
"Friday, July 23, 1976",Behind the Great Wall,Domestic Spying
"Sunday, July 25, 1976","""All part of the service when you go with us, sir""",Ford Administration
"Tuesday, July 27, 1976","""What other special events in this decathlon?""","Presidential Election, 1976"
"Wednesday, July 28, 1976","""We haven't been able to assess the full effect yet""","Presidential Election, 1976"
"Thursday, July 29, 1976",The Flow Begins,Ford Administration
"Friday, July 30, 1976","""Guess that thrashing we gave him will show everybody we mean business""",Congress
"Sunday, August 1, 1976","""... An atmosphere that could support life ...""",Pollution
"Tuesday, August 3, 1976",Pusher,Ford Administration
"Wednesday, August 4, 1976","""Cap'n, what you need aboard is an albatross expert""","Presidential Election, 1976"
"Thursday, August 5, 1976","""You see, it's really mine, but I just don't have it locked up""","Presidential Election, 1976"
"Friday, August 6, 1976","""It's a little late to save this camel's back""",Congress
"Sunday, August 8, 1976","... Tomorrow, and Tomorrow, and Tomorrow ...",Automotive Industry
"Tuesday, August 10, 1976","""What's the latest on the Connally comeback?""","Nixon, Richard"
"Wednesday, August 11, 1976","""Disagreeing with me, eh? You must be some kind of a nut""",Ford Administration
"Thursday, August 12, 1976","""Absolutely -- We must build a united party""","Presidential Election, 1976"
"Friday, August 13, 1976","""Nope, none of our business -- Neither of them seemed to be members of the Socialist Workers Party""",Murder
"Sunday, August 15, 1976","""And if we have any gold paint left over, we can start on the monument""",Congress
"Tuesday, August 17, 1976","""Who did you say for Vice President?""","Presidential Election, 1976"
"Wednesday, August 18, 1976","""Well, kid, it was exciting while it lasted""","Presidential Election, 1976"
"Thursday, August 19, 1976","""You're all set -- As soon as that heals you'll be right back in critical condition""","Presidential Election, 1976"
"Friday, August 20, 1976","""And now, you lucky fellow, I'm going to take you in on another gold-plated deal""",Oil Industry
"Sunday, August 22, 1976","""Let's go over it again -- Say he mentions Nixon. You look puzzled and ask, 'Who?'""","Presidential Election, 1976"
"Tuesday, August 24, 1976",Detective Story,Senate
"Wednesday, August 25, 1976","Item: Sen. Dole Offers to Provide ""Bridge"" Between G.O.P. Liberals and Ford","Presidential Election, 1976"
"Thursday, August 26, 1976","""Wait a minute -- I didn't agree to debate with you""",Ford Administration
"Friday, August 27, 1976","""One thing more, Senator -- Please don't send it to us by mail""",United States Postal Service
"Tuesday, September 21, 1976","""During the debates he wants to keep up with his work""","Presidential Election, 1976"
